row_num,source,issue,payload
7,sales,wrapped_in:find,"{""find"": {""SaleID"": 4762, ""ProductID"": 343, ""CustomerID"": 5412, ""Quantity"": 10, ""TotalAmount"": 1590, ""SaleDate"": ""2021-09-07""}}"
36,sales,double_serialised,"""{\""SaleID\"": 423, \""ProductID\"": 115, \""CustomerID\"": 2318, \""Quantity\"": 10, \""TotalAmount\"": 910, \""SaleDate\"": \""2021-11-12\""}"""
99,sales,wrapped_in:miss,"{""miss"": {""SaleID"": 6606, ""ProductID"": 954, ""CustomerID"": 7873, ""Quantity"": 3, ""TotalAmount"": 261, ""SaleDate"": ""2022-07-22""}}"
106,sales,wrapped_in:ability,"{""ability"": {""SaleID"": 4900, ""ProductID"": 601, ""CustomerID"": 6218, ""Quantity"": 6, ""TotalAmount"": 66, ""SaleDate"": ""2021-08-19""}}"
120,sales,double_serialised,"""{\""SaleID\"": 6461, \""ProductID\"": 335, \""CustomerID\"": 9926, \""Quantity\"": 2, \""TotalAmount\"": 24, \""SaleDate\"": \""2021-03-20\""}"""
141,sales,wrapped_in:small,"{""small"": {""SaleID"": 8832, ""ProductID"": 487, ""CustomerID"": 5082, ""Quantity"": 9, ""TotalAmount"": 540, ""SaleDate"": ""2020-07-11""}}"
185,sales,double_serialised,"""{\""SaleID\"": 4264, \""ProductID\"": 848, \""CustomerID\"": 9898, \""Quantity\"": 1, \""TotalAmount\"": 174, \""SaleDate\"": \""2021-09-23\""}"""
258,sales,wrapped_in:feeling,"{""feeling"": {""SaleID"": 9083, ""ProductID"": 607, ""CustomerID"": 4152, ""Quantity"": 7, ""TotalAmount"": 1281, ""SaleDate"": ""2023-01-03""}}"
263,sales,wrapped_in:person,"{""person"": {""SaleID"": 75, ""ProductID"": 558, ""CustomerID"": 2927, ""Quantity"": 6, ""TotalAmount"": 120, ""SaleDate"": ""2022-08-12""}}"
270,sales,wrapped_in:article,"{""article"": {""SaleID"": 4791, ""ProductID"": 482, ""CustomerID"": 2924, ""Quantity"": 4, ""TotalAmount"": 668, ""SaleDate"": ""2021-12-22""}}"
273,sales,wrapped_in:up,"{""up"": {""SaleID"": 1653, ""ProductID"": 323, ""CustomerID"": 8997, ""Quantity"": 5, ""TotalAmount"": 185, ""SaleDate"": ""2020-04-15""}}"
283,sales,wrapped_in:find,"{""find"": {""SaleID"": 9882, ""ProductID"": 367, ""CustomerID"": 8248, ""Quantity"": 5, ""TotalAmount"": 890, ""SaleDate"": ""2022-10-14""}}"
384,sales,wrapped_in:bring,"{""bring"": {""SaleID"": 9047, ""ProductID"": 529, ""CustomerID"": 5176, ""Quantity"": 1, ""TotalAmount"": 187, ""SaleDate"": ""2020-04-13""}}"
